numPedidoDD,idCliente,fechaPedido,formaPago,CURP
1,1,2019-02-05 00:00:00.000,Tarjeta,MAVC19931124MCBIH8
2,1,2018-06-18 00:00:00.000,Efectivo,ZUTA19861113FAPHR8
3,1,2019-03-26 00:00:00.000,Efectivo,ASMS19951126MSEIH4
4,1,2019-08-17 00:00:00.000,Efectivo,STSC19911120FCOCO4
5,1,2018-10-06 00:00:00.000,Tarjeta,OLMJ19881115MJYEE9
6,1,2018-12-12 00:00:00.000,Tarjeta,TOVK19931019MKFEN2
7,1,2018-03-07 00:00:00.000,Tarjeta,STMG19931213FGUOI3
8,1,2019-11-25 00:00:00.000,Efectivo,SHEA19991023FAADL8
9,1,2019-07-09 00:00:00.000,Tarjeta,DEPJ19961026FJNAA1
10,1,2019-10-31 00:00:00.000,Efectivo,MAVC19931124MCBIH8
11,1,2019-10-01 00:00:00.000,Tarjeta,MCEA19941016FAHMR2
12,1,2019-03-01 00:00:00.000,Tarjeta,GOMT19931117MTUIR4
13,1,2019-03-02 00:00:00.000,Tarjeta,CHDL19911124MLEUI2
14,1,2018-06-03 00:00:00.000,Tarjeta,STSC19911120FCOCO4
15,1,2019-07-13 00:00:00.000,Tarjeta,CHSA19951215FAAML6
16,1,2019-04-07 00:00:00.000,Tarjeta,PIHE19841211FETAV7
17,1,2019-09-25 00:00:00.000,Efectivo,ZUTA19861113FAPHR8
18,1,2019-04-14 00:00:00.000,Tarjeta,CHDL19911124MLEUI2
19,1,2018-11-27 00:00:00.000,Efectivo,MCEA19941016FAHMR2
20,1,2019-07-21 00:00:00.000,Efectivo,STSC19911120FCOCO4
21,1,2019-05-19 00:00:00.000,Efectivo,BUDB20001020FBGUR7
22,1,2018-10-16 00:00:00.000,Efectivo,ONWG19931020FGEOE3
23,1,2018-03-20 00:00:00.000,Efectivo,PIHE19841211FETAV7
24,1,2018-12-20 00:00:00.000,Efectivo,MOTD19821127MDUWE4
25,1,2018-03-19 00:00:00.000,Efectivo,STSC19911120FCOCO4
26,1,2019-12-03 00:00:00.000,Tarjeta,ROLC19981014MCWOA3
27,1,2018-07-26 00:00:00.000,Efectivo,ADSK19991027MKDHA2
28,1,2018-04-30 00:00:00.000,Efectivo,BUDB20001020FBGUR7
29,1,2019-02-18 00:00:00.000,Efectivo,LEPG19811219MGTRI6
30,1,2019-03-04 00:00:00.000,Tarjeta,GOMT19931117MTUIR4
31,1,2018-08-18 00:00:00.000,Efectivo,ONWG19931020FGEOE3
32,1,2018-12-29 00:00:00.000,Efectivo,LOBS19831229FSTAA6
33,1,2019-05-05 00:00:00.000,Tarjeta,MUCI19871124MIIHV7
34,1,2019-12-20 00:00:00.000,Efectivo,TOVK19931019MKFEN2
35,1,2019-10-30 00:00:00.000,Efectivo,BUDB20001020FBGUR7
36,1,2019-09-07 00:00:00.000,Tarjeta,ADSK19991027MKDHA2
37,1,2018-10-30 00:00:00.000,Efectivo,MCEA19941016FAHMR2
38,1,2018-08-25 00:00:00.000,Efectivo,WODC19851018MCOEL5
39,1,2019-10-10 00:00:00.000,Tarjeta,ZUTA19861113FAPHR8
40,1,2019-10-16 00:00:00.000,Efectivo,CAAI19871121FILPD1
41,1,2019-06-02 00:00:00.000,Tarjeta,DEPJ19961026FJNAA1
42,1,2019-04-18 00:00:00.000,Efectivo,BOPT19801122MTSAR8
43,1,2018-07-18 00:00:00.000,Efectivo,DEPJ19961026FJNAA1
44,1,2019-06-06 00:00:00.000,Tarjeta,REHL19911019MLAOU9
45,1,2018-08-15 00:00:00.000,Efectivo,SHEA19991023FAADL8
46,1,2019-05-31 00:00:00.000,Efectivo,ZUTA19861113FAPHR8
47,1,2018-04-26 00:00:00.000,Efectivo,REHL19911019MLAOU9
48,1,2018-11-01 00:00:00.000,Tarjeta,ONWG19931020FGEOE3
49,1,2019-04-12 00:00:00.000,Tarjeta,FUHL19931022MLSAY5
50,1,2019-11-07 00:00:00.000,Tarjeta,SHEA19991023FAADL8
51,1,2019-04-29 00:00:00.000,Efectivo,WODC19851018MCOEL5
52,1,2019-05-04 00:00:00.000,Tarjeta,STSC19911120FCOCO4
53,1,2019-10-24 00:00:00.000,Efectivo,ROHO19941021MOSAL2
54,1,2018-05-30 00:00:00.000,Efectivo,STSC19911120FCOCO4
55,1,2019-10-30 00:00:00.000,Efectivo,LEBC19831123FCMER7
56,1,2018-10-28 00:00:00.000,Efectivo,GOMT19931117MTUIR4
57,1,2019-09-10 00:00:00.000,Tarjeta,CHDL19911124MLEUI2
58,1,2018-08-17 00:00:00.000,Efectivo,DEPJ19961026FJNAA1
59,1,2019-09-25 00:00:00.000,Efectivo,REHL19911019MLAOU9
60,1,2019-04-09 00:00:00.000,Tarjeta,ROHO19941021MOSAL2
61,1,2018-07-23 00:00:00.000,Efectivo,OBTP19931123FPCRI5
62,1,2018-03-20 00:00:00.000,Efectivo,BESG19921029FGACU2
63,1,2019-09-28 00:00:00.000,Efectivo,ZUTA19861113FAPHR8
64,1,2018-09-27 00:00:00.000,Efectivo,MCSL19801010MLAEO4
65,1,2018-06-28 00:00:00.000,Efectivo,LEPG19811219MGTRI6
66,1,2019-02-17 00:00:00.000,Efectivo,CAAI19871121FILPD1
67,1,2019-12-03 00:00:00.000,Tarjeta,WODC19851018MCOEL5
68,1,2018-04-15 00:00:00.000,Efectivo,LOTR19931026MRSOO7
69,1,2019-11-19 00:00:00.000,Efectivo,STSC19911120FCOCO4
70,1,2018-07-25 00:00:00.000,Efectivo,MUCI19871124MIIHV7
71,1,2019-10-28 00:00:00.000,Efectivo,SHEA19991023FAADL8
72,1,2019-07-26 00:00:00.000,Efectivo,SAHC19991025FCBOH1
73,1,2019-08-30 00:00:00.000,Efectivo,MOTD19821127MDUWE4
74,1,2018-08-16 00:00:00.000,Efectivo,GOMT19931117MTUIR4
75,1,2019-01-11 00:00:00.000,Tarjeta,LEHM19901110MMLAA3
76,1,2019-10-03 00:00:00.000,Tarjeta,TOVK19931019MKFEN2
77,1,2018-07-13 00:00:00.000,Tarjeta,OBTP19931123FPCRI5
78,1,2018-05-12 00:00:00.000,Tarjeta,LEHM19901110MMLAA3
79,1,2018-06-03 00:00:00.000,Tarjeta,STSC19911120FCOCO4
80,1,2019-05-27 00:00:00.000,Efectivo,CAAI19871121FILPD1
81,1,2019-07-26 00:00:00.000,Efectivo,SHEA19991023FAADL8
82,1,2018-11-25 00:00:00.000,Efectivo,PIHE19841211FETAV7
83,1,2018-04-13 00:00:00.000,Tarjeta,STSC19911120FCOCO4
84,1,2019-07-10 00:00:00.000,Tarjeta,SPRA19831210MAOON5
85,1,2019-09-10 00:00:00.000,Tarjeta,STMG19931213FGUOI3
86,1,2018-03-10 00:00:00.000,Tarjeta,GRMG19811214MGAIE3
87,1,2019-06-15 00:00:00.000,Efectivo,STSC19911120FCOCO4
88,1,2019-06-01 00:00:00.000,Tarjeta,WAPE19941112FELAS3
89,1,2019-06-30 00:00:00.000,Efectivo,MAVC19931124MCBIH8
90,1,2019-05-19 00:00:00.000,Efectivo,WAPE19941112FELAS3
91,1,2018-06-09 00:00:00.000,Tarjeta,PIHE19841211FETAV7
92,1,2019-10-17 00:00:00.000,Efectivo,SPRA19831210MAOON5
93,1,2019-03-30 00:00:00.000,Efectivo,TOVK19931019MKFEN2
94,1,2019-03-24 00:00:00.000,Efectivo,CHSA19951215FAAML6
95,1,2019-02-08 00:00:00.000,Tarjeta,OLMJ19881115MJYEE9
96,1,2018-12-29 00:00:00.000,Efectivo,SPRA19831210MAOON5
97,1,2019-01-01 00:00:00.000,Tarjeta,BESG19921029FGACU2
98,1,2018-12-08 00:00:00.000,Tarjeta,GOMT19931117MTUIR4
99,1,2019-11-26 00:00:00.000,Efectivo,ROLC19981014MCWOA3
100,1,2018-11-27 00:00:00.000,Efectivo,LOBS19831229FSTAA6
101,1,2019-06-15 00:00:00.000,Efectivo,STMG19931213FGUOI3
102,1,2018-04-20 00:00:00.000,Efectivo,ASMS19951126MSEIH4
103,1,2019-03-08 00:00:00.000,Tarjeta,ONWG19931020FGEOE3
104,1,2018-12-31 00:00:00.000,Efectivo,SAHC19991025FCBOH1
105,1,2019-12-12 00:00:00.000,Tarjeta,GOMT19931117MTUIR4
106,1,2018-05-29 00:00:00.000,Efectivo,MCEA19941016FAHMR2
107,1,2018-05-26 00:00:00.000,Efectivo,BESG19921029FGACU2
108,1,2019-01-08 00:00:00.000,Tarjeta,FUHL19931022MLSAY5
109,1,2018-12-12 00:00:00.000,Tarjeta,SPRA19831210MAOON5
110,1,2019-04-03 00:00:00.000,Tarjeta,OBTP19931123FPCRI5
111,1,2018-08-24 00:00:00.000,Efectivo,ROLC19981014MCWOA3
112,1,2018-11-05 00:00:00.000,Tarjeta,ROLC19981014MCWOA3
113,1,2019-08-02 00:00:00.000,Tarjeta,FUHL19931022MLSAY5
114,1,2019-08-24 00:00:00.000,Efectivo,LOTR19931026MRSOO7
115,1,2019-05-29 00:00:00.000,Efectivo,TOVK19931019MKFEN2
116,1,2018-08-06 00:00:00.000,Tarjeta,WAPE19941112FELAS3
117,1,2019-04-17 00:00:00.000,Efectivo,STSC19911120FCOCO4
118,1,2018-11-25 00:00:00.000,Efectivo,CHDL19911124MLEUI2
119,1,2019-04-29 00:00:00.000,Efectivo,LEBC19831123FCMER7
120,1,2018-11-15 00:00:00.000,Efectivo,LEPG19811219MGTRI6
121,1,2019-10-19 00:00:00.000,Efectivo,WODC19851018MCOEL5
122,1,2019-10-03 00:00:00.000,Tarjeta,ZUTA19861113FAPHR8
123,1,2019-06-03 00:00:00.000,Tarjeta,SHEA19991023FAADL8
124,1,2018-09-11 00:00:00.000,Tarjeta,LEBC19831123FCMER7
125,1,2019-03-01 00:00:00.000,Tarjeta,LOTR19931026MRSOO7
126,1,2018-06-23 00:00:00.000,Efectivo,ADSK19991027MKDHA2
127,1,2019-08-11 00:00:00.000,Tarjeta,MCEA19941016FAHMR2
128,1,2018-06-23 00:00:00.000,Efectivo,SHEA19991023FAADL8
129,1,2018-04-09 00:00:00.000,Tarjeta,LOTR19931026MRSOO7
130,1,2019-10-18 00:00:00.000,Efectivo,SPRA19831210MAOON5
131,1,2019-12-29 00:00:00.000,Efectivo,LOBS19831229FSTAA6
132,1,2018-04-11 00:00:00.000,Tarjeta,BUDB20001020FBGUR7
133,1,2018-07-09 00:00:00.000,Tarjeta,FUHL19931022MLSAY5
134,1,2019-09-26 00:00:00.000,Efectivo,WODC19851018MCOEL5
135,1,2019-06-09 00:00:00.000,Tarjeta,FUHL19931022MLSAY5
136,1,2019-06-08 00:00:00.000,Tarjeta,WAPE19941112FELAS3
137,1,2019-09-26 00:00:00.000,Efectivo,GOMT19931117MTUIR4
138,1,2018-05-19 00:00:00.000,Efectivo,SAHC19991025FCBOH1
139,1,2018-09-16 00:00:00.000,Efectivo,MCSL19801010MLAEO4
140,1,2018-03-29 00:00:00.000,Efectivo,STMG19931213FGUOI3
141,1,2019-04-09 00:00:00.000,Tarjeta,WAPE19941112FELAS3
142,1,2019-03-23 00:00:00.000,Efectivo,SAHC19991025FCBOH1
143,1,2019-06-14 00:00:00.000,Tarjeta,MAVC19931124MCBIH8
144,1,2018-08-16 00:00:00.000,Efectivo,GRMG19811214MGAIE3
145,1,2019-11-11 00:00:00.000,Tarjeta,MCSL19801010MLAEO4
146,1,2019-11-07 00:00:00.000,Tarjeta,OBTP19931123FPCRI5
147,1,2018-12-14 00:00:00.000,Tarjeta,CHDL19911124MLEUI2
148,1,2018-05-05 00:00:00.000,Tarjeta,OLMJ19881115MJYEE9
149,1,2019-06-25 00:00:00.000,Efectivo,ONWG19931020FGEOE3
150,1,2018-05-08 00:00:00.000,Tarjeta,ONWG19931020FGEOE3
