numPedidoDE,idP,idCliente,fechaPedido,formaPago,CURP
1,1,1165,2018-12-09 00:00:00.000,Tarjeta,MAVC19931124MCBIH8
2,2,1175,2019-09-22 00:00:00.000,Efectivo,FUHL19931022MLSAY5
3,3,1198,2019-05-28 00:00:00.000,Efectivo,ZUTA19861113FAPHR8
4,4,1271,2018-05-08 00:00:00.000,Tarjeta,BESG19921029FGACU2
5,5,1325,2019-06-11 00:00:00.000,Tarjeta,REHL19911019MLAOU9
6,6,1436,2018-10-30 00:00:00.000,Efectivo,SAHC19991025FCBOH1
7,7,1524,2019-09-18 00:00:00.000,Efectivo,CHDL19911124MLEUI2
8,8,1743,2018-09-10 00:00:00.000,Tarjeta,DEPJ19961026FJNAA1
9,9,1919,2019-07-05 00:00:00.000,Tarjeta,LEHM19901110MMLAA3
10,10,2014,2019-06-12 00:00:00.000,Tarjeta,CHDL19911124MLEUI2
11,11,2073,2019-05-19 00:00:00.000,Efectivo,VISQ19841115MQTHU9
12,12,2123,2019-08-03 00:00:00.000,Tarjeta,SAHC19991025FCBOH1
13,13,2124,2018-04-09 00:00:00.000,Tarjeta,TOVK19931019MKFEN2
14,14,2165,2018-10-12 00:00:00.000,Tarjeta,BRAK19861115MKARA1
15,15,2251,2019-11-08 00:00:00.000,Tarjeta,LOBS19831229FSTAA6
16,16,2499,2018-12-28 00:00:00.000,Efectivo,MCEA19941016FAHMR2
17,17,2617,2018-07-01 00:00:00.000,Tarjeta,STMG19931213FGUOI3
18,18,2802,2019-02-03 00:00:00.000,Tarjeta,GRMG19811214MGAIE3
19,19,2949,2019-10-12 00:00:00.000,Tarjeta,LEBC19831123FCMER7
20,20,2995,2018-09-18 00:00:00.000,Efectivo,REHL19911019MLAOU9
21,21,3330,2018-07-16 00:00:00.000,Efectivo,GOMT19931117MTUIR4
22,22,3333,2018-09-25 00:00:00.000,Efectivo,LOTR19931026MRSOO7
23,23,3379,2019-04-21 00:00:00.000,Efectivo,MOTD19821127MDUWE4
24,24,3732,2018-07-08 00:00:00.000,Tarjeta,MOTD19821127MDUWE4
25,25,3781,2019-01-16 00:00:00.000,Efectivo,MAVC19931124MCBIH8
26,26,3824,2019-06-15 00:00:00.000,Efectivo,MCSL19801010MLAEO4
27,27,3852,2019-03-02 00:00:00.000,Tarjeta,ROLC19981014MCWOA3
28,28,3879,2019-05-13 00:00:00.000,Tarjeta,OLMJ19881115MJYEE9
29,29,4000,2018-06-04 00:00:00.000,Tarjeta,WAPE19941112FELAS3
30,30,4027,2019-08-05 00:00:00.000,Tarjeta,BESG19921029FGACU2
31,31,4042,2018-11-20 00:00:00.000,Efectivo,STSC19911120FCOCO4
32,32,4302,2019-10-14 00:00:00.000,Tarjeta,CHDL19911124MLEUI2
33,33,4314,2019-12-18 00:00:00.000,Efectivo,TOVK19931019MKFEN2
34,34,4490,2018-09-05 00:00:00.000,Tarjeta,WAPE19941112FELAS3
35,35,4493,2019-04-06 00:00:00.000,Tarjeta,BUDB20001020FBGUR7
36,36,4728,2018-09-21 00:00:00.000,Efectivo,WODC19851018MCOEL5
37,37,4838,2018-09-07 00:00:00.000,Tarjeta,GOMT19931117MTUIR4
38,38,4861,2019-03-09 00:00:00.000,Tarjeta,MUCI19871124MIIHV7
39,39,4932,2019-06-01 00:00:00.000,Tarjeta,REHL19911019MLAOU9
40,40,4933,2018-08-23 00:00:00.000,Efectivo,LEPG19811219MGTRI6
41,41,5052,2019-07-04 00:00:00.000,Tarjeta,VISQ19841115MQTHU9
42,42,5075,2019-11-08 00:00:00.000,Tarjeta,ROLC19981014MCWOA3
43,43,5112,2019-09-18 00:00:00.000,Efectivo,ROHO19941021MOSAL2
44,44,5220,2019-08-30 00:00:00.000,Efectivo,MCSL19801010MLAEO4
45,45,5249,2018-09-17 00:00:00.000,Efectivo,LEPG19811219MGTRI6
46,46,5282,2019-08-12 00:00:00.000,Tarjeta,ROHO19941021MOSAL2
47,47,5313,2018-12-08 00:00:00.000,Tarjeta,ROLC19981014MCWOA3
48,48,5382,2019-10-30 00:00:00.000,Efectivo,BRAK19861115MKARA1
49,49,5481,2018-10-26 00:00:00.000,Efectivo,CHSA19951215FAAML6
50,50,5498,2018-04-24 00:00:00.000,Efectivo,PIHE19841211FETAV7
51,51,5626,2018-03-23 00:00:00.000,Efectivo,TOVK19931019MKFEN2
52,52,5829,2019-03-11 00:00:00.000,Tarjeta,CAAI19871121FILPD1
53,53,5986,2018-11-11 00:00:00.000,Tarjeta,ADSK19991027MKDHA2
54,54,5995,2019-11-10 00:00:00.000,Tarjeta,MCSL19801010MLAEO4
55,55,6015,2019-11-19 00:00:00.000,Efectivo,SPRA19831210MAOON5
56,56,6054,2018-07-07 00:00:00.000,Tarjeta,OLMJ19881115MJYEE9
57,57,6080,2019-03-15 00:00:00.000,Efectivo,ZUTA19861113FAPHR8
58,58,6128,2019-08-16 00:00:00.000,Efectivo,REHL19911019MLAOU9
59,59,6148,2018-09-26 00:00:00.000,Efectivo,LOTR19931026MRSOO7
60,60,6179,2018-09-11 00:00:00.000,Tarjeta,LOTR19931026MRSOO7
61,61,6254,2019-12-24 00:00:00.000,Efectivo,REHL19911019MLAOU9
62,62,6378,2018-10-15 00:00:00.000,Efectivo,LOBS19831229FSTAA6
63,63,6407,2019-02-26 00:00:00.000,Efectivo,SHEA19991023FAADL8
