CURP,RFC,idSucursal,nombre,apellidoP,apellidoM,edad,tipoSangre,fechaInicio,numSeguridad,nomina,numlic,transporte
ADSK19991027MKDHA2,CK56ME3YKMW9D,16,Kathe,Adderson,Shailer,47,"O- ",2018-01-29 00:00:00.000,8065,2700.00,424645110,A4
ASMS19951126MSEIH4,4WJSMTBMU0YUK,6,Shelagh,Aseef,Michael,59,AB-,2018-02-01 00:00:00.000,4961,2700.00,801891182,Corvette
BESG19921029FGACU2,UH3PQDN1E3WCH,7,Guendolen,Beadles,Screase,23,"A+ ",2018-01-28 00:00:00.000,5624,2700.00,322231729,Yukon XL 2500
BOPT19801122MTSAR8,ZOKF1RBQBWGDV,8,Truman,Bosworth,Pantlin,37,"B- ",2018-01-22 00:00:00.000,2978,2700.00,10468644,Camry Hybrid
BRAK19861115MKARA1,IP1GWOI2Z2E2D,14,Kalie,Braidley,Armal,58,AB-,2018-02-13 00:00:00.000,6833,2700.00,833086462,Rally Wagon 2500
BUDB20001020FBGUR7,VYGFMJC6II3LC,19,Brynna,Buggs,Durbin,21,"A+ ",2018-01-23 00:00:00.000,6158,2700.00,366889992,Town Car
CAAI19871121FILPD1,PVJAS4QQ0WDQ1,3,Idell,Calyton,Apperley,20,"A+ ",2018-01-22 00:00:00.000,9131,2700.00,861992769,SL-Class
CHDL19911124MLEUI2,QUZORU1C3XZKV,20,Linn,Chedgey,Dumbare,52,AB+,2018-02-05 00:00:00.000,6593,2750.00,660560435,Durango
CHSA19951215FAAML6,V1X480BHEBNLS,3,Alejandro,Chard,Smythin,25,"A+ ",2018-01-23 00:00:00.000,8564,2700.00,981202517,Model T
DEPJ19961026FJNAA1,5X4VDBP4TP3SY,14,Jacenta,Dent,Pagnin,34,"B+ ",2018-01-20 00:00:00.000,6992,2750.00,330453183,Bonneville
FUHL19931022MLSAY5,V3KZX4YHT4LYT,10,Ly,Fusedale,Haldin,52,AB+,2018-01-23 00:00:00.000,8101,2700.00,58473274,Fiesta
GOMT19931117MTUIR4,QUDWDVK5YWV67,16,Tressa,Gourlay,Middlemass,42,"O+ ",2018-02-14 00:00:00.000,9021,2700.00,288376416,Grand Cherokee
GRMG19811214MGAIE3,7QDOOWTCVG37U,6,Gerry,Grayshon,Millimoe,50,"O- ",2018-01-27 00:00:00.000,7703,2750.00,101468024,928
LEBC19831123FCMER7,PWLWUACO52C8F,1,Cristi,Lemarie,Bennit,22,"A+ ",2018-02-09 00:00:00.000,6393,2700.00,12824380,SL-Class
